hackathon_name,project_name,project_link,winner
Auburn Hacks 2024,Resumate,https://devpost.com/software/resumate-bwk81m,True
Auburn Hacks 2024,Courage The Not-so Cowardly Rover,https://devpost.com/software/courage-the-not-so-cowardly-rover,True
Auburn Hacks 2024,Planetarium,https://devpost.com/software/planetarium-nzc1a7,True
Auburn Hacks 2024,Orbital Sandbox,https://devpost.com/software/orbital-sandbox,True
Auburn Hacks 2024,OrbitQuest,https://devpost.com/software/orbitquest,True
Auburn Hacks 2024,Pseduo,https://devpost.com/software/pseduo,True
Auburn Hacks 2024,Auburn Quest,https://devpost.com/software/auburn-quest,True
Auburn Hacks 2024,Starfall,https://devpost.com/software/starfall,False
Auburn Hacks 2024,planet simulation,https://devpost.com/software/planet-simulation,False
Auburn Hacks 2024,Constellation Achievements,https://devpost.com/software/constellation-achievements,False
Auburn Hacks 2024,SpacePal,https://devpost.com/software/spacepal,False
Auburn Hacks 2024,HAL 9000 Desktop Buddy,https://devpost.com/software/hal-9000-desktop-buddy,False
Auburn Hacks 2024,Andromeda,https://devpost.com/software/andromeda-y1pmjk,False
Auburn Hacks 2024,Sound Safari,https://devpost.com/software/sound-safari,False
Auburn Hacks 2024,Demo,https://devpost.com/software/quizzify-q1lvrc,False
Auburn Hacks 2024,Solar Flare Prediction,https://devpost.com/software/solar-flare-prediction,False
Auburn Hacks 2024,Spaceify,https://devpost.com/software/spaceify-gu2p1z,False
Auburn Hacks 2024,Space smarts,https://devpost.com/software/space-smarts,False
Auburn Hacks 2024,OnePress,https://devpost.com/software/onepress,False
Auburn Hacks 2024,Mars Meteo,https://devpost.com/software/mars-meteo,False
Auburn Hacks 2024,AstroPedia,https://devpost.com/software/astropedia,False
Auburn Hacks 2024,Event Horizon,https://devpost.com/software/event-horizon-ce43fz,False
Auburn Hacks 2024,Spaced Out,https://devpost.com/software/spaced-out-38btga,False
Auburn Hacks 2024,AlienAtlas,https://devpost.com/software/alienatlas,False
Auburn Hacks 2024,Nebula Navigators,https://devpost.com/software/nebula-navigators,False
Auburn Hacks 2024,Starbite,https://devpost.com/software/starbite,False
Auburn Hacks 2024,Playlist Planet,https://devpost.com/software/playlist-planet,False
Auburn Hacks 2024,Planet Patrol,https://devpost.com/software/planet-patrol,False
Auburn Hacks 2024,Cosmic Colonies,https://devpost.com/software/cosmic-colonies,False
Auburn Hacks 2024,WeAuburn,https://devpost.com/software/weauburn,False
Auburn Hacks 2024,Marshall's Space Return,https://devpost.com/software/shmore-o-s-space-return,False
